"oa11cd","lsoa11cd","sfbb_pc","ufbb_pc","nga_pc","no2m_pc","no5m_pc","no10m_pc","no30m_pc","meddown","avdown","mindown","maxdown","avdownl10","avdownbasic","avdownsfbb","avdownufbb","medup","avup","minup","maxup","avupl10","avupbasic","avupsfbb","avupufbb","numconnl2","numconn2t5","numconn5t10","numconn10t30","numconn30p","numconn300p","avdugb","avdul10","avdubasic","avdusfbb","avduufbb","num_pcs"
"E00169749","E01011614",100,0,100,0,0,0,0,35.68,53.16,3.26,164.4,4.76,5.36,84.02,0,2.86,4.76,0.5,12.12,0.68,0.94,7.1,0,1,16,14,2,44,0,106.52,63.8,60.28,127.52,0,5
"E00169750","E01011614",19.6,0,20,0,0,80,80.4,9.92,12.04,1.5,35.42,4.88,5.38,15.04,0,1.04,1.36,0.44,4.26,0.72,0.78,1.4,0,3,44,59,3,21,0,108.92,107.42,106.04,19.96,0,5
"E00169751","E01011361",100,0,100,0,0,0,0,34,47.85,13.575,150.5,2.2,19.625,79.25,0,2,2.9,0.65,9.75,0.25,0.975,5.325,0,0,0,1,35,30,0,161.025,3.55,184.375,145.725,0,4
"E00169752","E01011361",97.6666666666667,0,97.6666666666667,0,0,0,2.33333333333333,21.1,32.3,9.33333333333333,100,1.26666666666667,18.3,61.9,0,1.26666666666667,2.06666666666667,0.7,6,0.2,1.2,3.9,0,0,2,0,30,18,0,191.533333333333,34.8,212.033333333333,198.633333333333,0,3
"E00169753","E01011284",100,0,100,0,0,0,0,50,58.9666666666667,8.8,183.333333333333,5.4,17.7,83.9666666666667,0,3.66666666666667,4.33333333333333,0.666666666666667,16.3333333333333,0.6,1.16666666666667,6.23333333333333,0,0,0,4,32,61,0,191.8,46.4666666666667,200.133333333333,195.533333333333,0,3
"E00169754","E01011284",100,0,100,0,0,0,0,37.9,54.775,14.3,150.5,0,18.175,83.225,0,2.3,4.225,0.725,13,0,1.05,6.875,0,0,0,0,26,32,0,266.025,0,233.925,283.65,0,4
"E00169755","E01011431",96.4545454545455,0,96.4545454545455,0,1.18181818181818,3.54545454545455,3.54545454545455,17.6727272727273,29.7545454545455,2.20909090909091,101.790909090909,5.72727272727273,6.46363636363636,62.4363636363636,0,1.75454545454545,3.41818181818182,0.636363636363636,11.5818181818182,0.845454545454546,0.972727272727273,9.11818181818182,0,4,22,59,14,54,0,184.109090909091,151.981818181818,167.581818181818,253.872727272727,0,11
"E00169780","E01033008",6.25,0,6.25,0,0,0,93.75,17.725,17.05,6.675,23.325,8.05,17.05,0,0,1.1,1.025,0.475,1.3,0.625,1.025,0,0,0,1,15,107,0,0,143.2,31.1,143.2,0,0,4
"E00169782","E01033008",29.7142857142857,0,29.6428571428571,0,0,0,70.3928571428571,18.7178571428571,19.275,8.86071428571428,39.1321428571429,5.85714285714286,17.4142857142857,13.9892857142857,0,1.125,1.22142857142857,0.653571428571429,2.49285714285714,0.685714285714286,1.06071428571429,1.03571428571429,0,1,5,53,248,11,0,87.1214285714286,16.6142857142857,85.9285714285714,21.8785714285714,0,28
"E00169783","E01033010",25,0,25,0,0,0,75,24.6363636363636,24.0545454545455,8.17272727272727,45.8727272727273,5.48181818181818,17.0636363636364,16.9090909090909,0,1.49090909090909,1.5,0.563636363636364,2.78181818181818,0.572727272727273,1.03636363636364,1.05454545454545,0,4,2,17,110,9,0,84.8818181818182,25.1272727272727,76.5727272727273,36.8818181818182,0,11
"E00169785","E01033010",19.88,0,19.84,0,0,0,80.16,16.724,16.24,6.236,23.968,7.124,16.188,2,0,1.024,0.996,0.548,1.336,0.628,0.992,0.12,0,3,7,63,242,1,0,76.476,17.944,76.344,6.34,0,25
"E00169786","E01033010",0.421052631578947,0,0.421052631578947,0,0,0,99.5789473684211,17.5631578947368,16.3263157894737,6.86315789473684,22.3473684210526,5.99473684210526,16.3263157894737,0,0,1.11052631578947,1.06842105263158,0.615789473684211,1.51578947368421,0.757894736842105,1.06842105263158,0,0,1,6,40,190,0,0,79.8684210526316,35.4526315789474,79.8684210526316,0,0,19
"E00169788","E01033011",26.8333333333333,33.3333333333333,60.1666666666667,0,0,0,39.8333333333333,13.3166666666667,12.7666666666667,5.41666666666667,20.8166666666667,5.63333333333333,12.7666666666667,0,0,1.03333333333333,1,0.616666666666667,1.36666666666667,0.65,1,0,0,2,6,41,81,0,0,156.166666666667,40.5,156.666666666667,0,0,6
"E00169789","E01033011",32.8571428571429,0,32.8571428571429,0,0,0,67.1428571428571,23.8,24.2785714285714,11.2857142857143,45.65,3.22142857142857,15.6,30.5428571428571,0,1.07857142857143,1.5,0.814285714285714,3.77857142857143,0.428571428571429,1.03571428571429,2.08571428571429,0,1,3,20,153,26,0,130.6,27.4,121.3,51.6071428571429,0,14
"E00169791","E01033013",0,100,100,0,0,0,0,13.2,19.86,7.12,69.94,8.64,12.24,53,0,1.04,2.36,0.62,14,1,0.98,10.88,0,0,1,24,136,39,0,186.28,165.24,177.84,240.22,0,5
"E00169792","E01033013",37,13.3333333333333,50.3333333333333,0,0,20.6,49.6666666666667,15.8866666666667,18.9066666666667,6.28666666666667,46.04,6.29333333333333,9.68666666666667,27.3533333333333,0,1.15333333333333,1.68666666666667,0.746666666666667,5.13333333333333,0.806666666666667,0.966666666666667,2.98666666666667,0,1,7,54,84,39,0,76.16,46.4066666666667,75.7,58.3133333333333,0,15
"E00169794","E01033015",0,100,100,0,0,0,0,12.65,23.15,6.5,72,7.95,11.45,54.75,0,1.1,3.7,0.75,20,1.05,1,13.1,0,0,0,10,36,17,0,157.05,77.35,164.35,153.65,0,2
